item,creatures,npc,npc_price,qty
Heavy Trident,"Deathling Scout,Deathling Spellsinger,Deepling Brawler,Deepling Elite,Deepling Guard,Deepling Scout,Deepling Tyrant,Deepling Warrior,Deepling Worker,Neutral Deepling Warrior",Rashid,2000,11-20
Hellhound Slobber,"Hellhound,Kerberos",Yasir,500,124-200
Hemp Rope,Choking Fear,Yasir,350,56-72
Hibiscus Dress,"Angry Sugar Fairy,Nymph,Vampire Bride,Wyrm,Boreth",Rashid,3000,9-13
Hideous Chunk,Hideous Fungus,Yasir,510,25-47
High Guard Flag,Lizard High Guard,Yasir,550,43-49
High Guard Shoulderplates,Lizard High Guard,Yasir,130,65-96
Holy Ash,"Flickering Spirit Elemental,Lost Exile,Lost Husher,Psychic Spirit Elemental,Spirit Overlord",Yasir,160,102-190
Horoscope,"Blood Hand,Blood Priest,Shadow Pupil",Yasir,40,12-46
Human Teeth,"Dark Carnisylvan,Hulking Carnisylvan,Poisonous Carnisylvan",Yasir,2000,11-13
Humongous Chunk,Humongous Fungus,Yasir,540,28-50
Hydra Head,"Hydra,Lion Hydra",Yasir,600,30-50
Hydrophytes,Two-Headed Turtle,Yasir,220,153-190
Ice Flower,"Crazed Winter Rearguard,Crazed Winter Vanguard,Soul-broken Harbinger",Yasir,370,405-481
Idol of the Forge,Bulltaur Forgepriest,Yasir,950,42-49
Inkwell,"Brain Squid,Ink Blob,Ink Splash,Rage Squid,Squid Warden",Outro,720,253-484
Instable Proto Matter,"Brain Squid,Dread Intruder,Outburst",Yasir,300,51-96
Ivory Carving,"Werelion,Werelioness",Yasir,300,55-69
Key to the Drowned Library,"Deepling Master Librarian,Deepling Spellsinger",Yasir,330,25-50
Knife,"Assassin,Barbarian Headsplitter,Barbarian Skullhunter,Cobra Assassin,Crazed Summer Vanguard,Headpecker,Smuggler,Undead Prospector,Usurper Archer,Werehyaena,Ancient Lion Knight,Apprentice Sheng,Faceless Bane",Outro,1,50-97
Knight Axe,"Afflicted Strider,Blemished Spawn,Crusader,Execowtioner,Girtablilu Warrior,Hellhound,Hulking Carnisylvan,Lost Basher,Lost Berserker,Lost Exile,Lost Husher,Minotaur Invader,Pirat Cutthroat,Poisonous Carnisylvan,Skeleton Elite Warrior,Thanatursus,Tremendous Tyrant,Undead Elite Gladiator,Undead Gladiator,Amenef the Burning,Black Knight,Fluffy,Kerberos,Morguthis,Neferi the Spy,Sir Leonard,Sir Leopold,The Enraged Thorn Knight",Djinn,2000,34-38
Knight Legs,"Cliff Strider,Crystal Spider,Cult Enforcer,Foam Stalker,Giant Spider,Gore Horn,Hellspawn,Lost Basher,Menacing Carnivor,Mooh'Tah Warrior,Nightmare,Orewalker,Plaguesmith,Soul-broken Harbinger,Sulphur Spouter,Two-Headed Turtle,Usurper Knight,Usurper Warlock,Venerable Foam Stalker,Vicious Squire,Black Knight,Count Vlarkorth,Flameborn,Hellgorak,Hide,Horadron,Mamma Longlegs,Sir Baeloc,Sir Leonard,Sir Leopold,The Bloodweb,The Old Widow,Tormentor",Djinn,5000,11-42
Kongra's Shoulderpad,"Cursed Ape,Kongra",Yasir,100,103-175
Lamassu Hoof,"Crypt Warden,Lamassu",Yasir,330,155-195
Lamassu Horn,"Crypt Warden,Lamassu",Yasir,240,51-94
Lancer Beetle Shell,"Lancer Beetle,The Blightfather",Yasir,80,53-100
Lancet,"Blood Hand,Blood Priest",Yasir,90,30-48
Lavafungus Head,Lavafungus,Yasir,900,40-60
Lavafungus Ring,Lavafungus,Yasir,390,107-200
Lavaworm Jaws,Lavaworm,Yasir,1100,11-19
Lavaworm Spike Roots,Lavaworm,Yasir,600,83-83
Lavaworm Spikes,Lavaworm,Yasir,750,26-39
Lightning Boots,"Burning Gladiator,Cursed Prospector,Elder Wyrm,Energetic Book,Juvenile Bashmu,Lich,Mercurial Menace,Pirat Bombardier,War Golem,Gravelord Oshuran,Mazzinor,Omrafir,Prince Drazzak",Rashid,2500,16-17
Lightning Headband,"Brain Squid,Burning Gladiator,Cloak of Terror,Courage Leech,Cunning Werepanther,Energetic Book,Evil Prospector,Giant Spider,High Voltage Elemental,Hulking Carnisylvan,Reality Reaver,Sphinx,Stabilizing Reality Reaver,Two-Headed Turtle,Usurper Warlock,Werelioness,Anomaly,Burster,Lord Azaram,Neferi the Spy,Outburst,Realityquake,Rupture,Sister Hetai,Tyrn,World Devourer",Rashid,2500,18-44
Lightning Robe,"Bulltaur Forgepriest,Cursed Prospector,Elder Wyrm,High Voltage Elemental,Raubritter Chastener,Warlock,Anomaly,Court Warlock,King Zelos,Mad Mage,Omrafir,Outburst,Prince Drazzak,Realityquake,Tyrn,Zarabustor",Rashid,11000,13-16
Lime Tart,"Nibblemaw,Sugar Daddy",Outro,1870,12-20
Liodile Fang,Liodile,Outro,480,28-47
Lion Cloak Patch,"Usurper Archer,Usurper Commander,Usurper Knight,Usurper Warlock",Yasir,190,67-83
Lion Crest,"Usurper Archer,Usurper Commander,Usurper Knight,Usurper Warlock",Yasir,270,28-45
Lost Basher's Spike,Lost Basher,Yasir,280,35-48
Lost Bracers,Lost Thrower,Yasir,140,25-43
Luminous Orb,"Draken Spellweaver,Raging Mage,Warlock,Ancient Spawn of Morgathla,Lloyd,Mad Mage,Ravenous Hunger,Reflection of a Mage,The Baron from Below,The Blazing Time Guardian,The Count of the Core,The Duke of the Depths,The Freezing Time Guardian,The Sandking,The Time Guardian",Yasir,1000,10-20
Lump of Earth,"Brimstone Bug,Clay Guardian,Drillworm,Earth Elemental,Jagged Earth Elemental,Massive Earth Elemental,Muddy Earth Elemental,Earth Overlord,Sulphur Scuttler,The Shatterer",Yasir,130,293-465
Mad Froth,Lost Thrower,Yasir,80,70-97
Magma Boots,"Burning Gladiator,Crazed Summer Vanguard,Dragon Lord Hatchling,Feral Sphinx,Hellflayer,Hellhound,Honey Elemental,Infernal Demon,Infernalist,Lava Golem,Magma Crawler,Manticore,Massive Fire Elemental,Orc Warlord,Pirat Bombardier,Sphinx,Sulphider,Wandering Pillar,Bibby Bloodbath,Count Vlarkorth,Sister Hetai,The Souldespoiler,Warlord Ruzad",Rashid,2500,26-40
Magma Clump,"Lava Golem,Magma Crawler,Vulcongra,Walking Pillar,Wandering Pillar,Weeper",Outro,570,111-171
Magma Coat,"Afflicted Strider,Burning Book,Cinder Wyrmling,Crape Man,Dawnfire Asura,Diabolic Imp,Gazer Spectre,Girtablilu Warrior,Gorerilla,Guardian of Tales,Hellfire Fighter,Hellhound,Insane Siren,Lava Golem,Manticore,Percht,Sabretooth,Shaburak Lord,Shaburak Prince,Stalking Stalk,True Dawnfire Asura,Vulcongra,Wandering Pillar,Weeper,Court Warlock,Fire Overlord,Furyosa,Gaz'Haragoth,King Zelos,Mazoran,Morgaroth,Scarlett Etzel,Sister Hetai,The Baron from Below,The Blazing Rose,The Count of the Core,The Flaming Orchid,The Imperor,The Sandking,The Time Guardian,Urmahlullu the Weakened",Rashid,11000,14-48
Magma Legs,"Broodrider Inferniarch,Feral Sphinx,Grimeleech,Guardian of Tales,Hellfire Fighter,Hellflayer,Hellhound,Honey Elemental,Insane Siren,Manticore,Massive Fire Elemental,Percht,Shaburak Demon,Sphinx,Usurper Knight,Walking Pillar,Weeper,Werelioness,Arbaziloth,Arbaziloth (Hard),Ferumbras,Ferumbras Mortal Shell,Furyosa,Hellgorak,Mazoran,The Blazing Time Guardian,The Flaming Orchid,The Freezing Time Guardian,The Time Guardian,Utua Stone Sting,Yirkas Blue Scales",Rashid,11000,9-15
Magma Monocle,"Burning Book,Cinder Wyrmling,Diabolic Imp,Efreet,Feral Sphinx,Hellhound,Insane Siren,Manticore,Marid,Percht,Raubritter Chastener,Sphinx,Usurper Warlock,Werepanther,Clavius,Essence of Malice,Fahim The Wise,Merikh the Slaughterer,Overseer Osverger,Scarlett Etzel,Sir Baeloc,Urmahlullu the Weakened",Rashid,2500,11-17
Makara Fin,Makara,Yasir,350,26-37
Makara Tongue,Makara,Yasir,320,29-36
Mammoth Tusk,"Mammoth,The Bloodtusk",Yasir,100,68-79
Mammoth Whopper,"Chakoya Toolshaper,Chakoya Tribewarden,Crypt Warrior,Mammoth,Memory of a Mammoth,Skeleton Elite Warrior,Ocyakao",Rashid,300,13-20
Manticore Ear,"Manticore,Enusat the Onyx Wing",Yasir,310,30-56
Manticore Tail,"Manticore,Enusat the Onyx Wing",Yasir,220,69-97
Mantosaurus Jaw,Mantosaurus,Outro,2800,37-48
Mega Dragon Heart,Mega Dragon,Yasir,1100,12-17
Mercenary Sword,"Afflicted Strider,Betrayed Wraith,Eyeless Devourer,Foam Stalker,Glooth Brigand,Infernal Demon,Mean Lost Soul,Mutated Bat,Raubritter Skirmisher,Retching Horror,Rotten Golem,Serpent Spawn,Streaked Devourer,Venerable Foam Stalker,Amenef the Burning,Blight Mariner,Bruise Payne,Ghulosh,Madareth,Man in the Cave,Michael the Stalwart,Plagirath,The Noxious Spawn,Unaz the Mean,Utua Stone Sting",Rashid,12000,10-20
Mercurial Wing,Mercurial Menace,Outro,2500,58-93
Metal Bat,"Brachiodemon,Eyeless Devourer,Metal Gargoyle,Rustheap Golem,The Unarmored Voidborn",Outro,9000,10-15
Metal Jaw,Metal Gargoyle,Outro,260,64-82
Metal Spats,"Bellicose Orger,Control Tower,Glooth Battery,Gore Horn,Lavafungus,Metal Gargoyle,Ogre Ruffian,Sabretooth,Walker,Sister Hetai",Outro,2000,10-19
Mino Lance,"Minotaur Amazon,Minotaur Cult Follower",Outro,7000,16-16
Mino Shield,"Bulltaur Brute,Minotaur Amazon,Minotaur Cult Follower,Minotaur Hunter,Thanatursus,Usurper Archer,The False God",Outro,3000,101-171
Molten Dragon Essence,Mega Dragon,Yasir,840,25-32
Mould Heart,Mould Phantom,Yasir,2100,10-19
Mouldy Powder,"Pirat Bombardier,Pirat Mate",Yasir,200,55-99
Mummified Demon Finger,"Brinebrute Inferniarch,Broodrider Inferniarch,Gorger Inferniarch,Hellhunter Inferniarch,Sineater Inferniarch,Spellreaper Inferniarch",Yasir,800,10-20
Mutated Bat Ear,"Mutated Bat,Bruise Payne",Yasir,420,26-50
Mutated Flesh,Mutated Human,Yasir,50,52-99
Mutated Rat Tail,"Mutated Rat,Esmeralda",Yasir,150,29-42
Naga Archer Scales,Naga Archer,Yasir,340,250-496
Naga Armring,"Naga Archer,Naga Warrior",Yasir,390,31-36
Naga Earring,"Naga Archer,Naga Warrior",Yasir,380,50-96
Naga Warrior Scales,Naga Warrior,Yasir,340,423-472
Necromantic Core,"Creepy Crawler,Crypt Fiend,Crypt Mage,Cyclursus,Roaming Dread,Walking Dread",Outro,10000,26-50
Necromantic Rust,"Rustheap Golem,The False God",Outro,390,104-190
Night Harpy Feathers,Night Harpy,Outro,5000,26-44
Nighthunter Wing,Nighthunter,Outro,2000,299-400
Nimmersatt's Seal,"Dragolisk,Mega Dragon,Wardragon",Yasir,520,60-84
Odd Organ,"Brain Squid,Dread Intruder,Essence of Malice,Rupture,The Souldespoiler",Yasir,410,81-94
Ogre Ear Stud,"Animated Ogre Brute,Animated Ogre Savage,Animated Ogre Shaman,Ogre Brute,Ogre Rowdy,Ogre Ruffian,Ogre Sage,Ogre Savage,Ogre Shaman,Shaper Matriarch",Yasir,180,132-164
Old Girtablilu Carapace,Venerable Girtablilu,Yasir,570,25-35
Orcish Axe,"Orc Cult Fanatic,Orc Cult Inquisitor,Orc Cult Minion,Orc Cultist,Orc Marauder,Orc Rider,Orc Warlord,Orclops Bloodbreaker,Orclops Doomhauler,Orclops Ravager,Rorc,Bibby Bloodbath,Cublarc the Plunderer,Vladrukh,Warlord Ruzad",Outro,350,26-49
Orcish Gear,"Orc Berserker,Orc Cult Inquisitor",Yasir,85,54-74
Orcish Toothbrush,Orclops Bloodbreaker,Yasir,750,29-47
Ornate Crossbow,"Capricious Phantom,Cave Chimera,Deepling Guard,Deepling Master Librarian,Deepling Spellsinger,Deepling Tyrant,Eyeless Devourer,Feral Werecrocodile,Freakish Lost Soul,Harpy,Mitmah Scout,Mould Phantom,Naga Archer,Streaked Devourer,Usurper Archer,Adlerauge,Ayana The Crimson Curse,Katex Blood Tongue,Melting Frozen Horror,Vok the Freakish,Yirkas Blue Scales",Outro,12000,12-20
Pair of Hellflayer Horns,Hellflayer,Yasir,1300,63-83
Paper Boat,Bluebeak,Yasir,800,30-50
Paper Plane,Shell Drake,Yasir,480,56-88
Piece of Draconian Steel,"Plaguesmith,Earl Osam,Soul of Dragonking Zyrtarch,The False God",Outro,480,13-166
Piece of Frozen Night,"Gloom Maw,Norcferatu Nightweaver",Yasir,680,27-49
Piece of Hell Steel,"Plaguesmith,Duke Krule,Earl Osam,Lloyd,Lord Azaram,Sir Baeloc,The False God,The Source of Corruption",Outro,500,12-15
Piece of Warrior Armor,"Minotaur Guard,Minotaur Invader,The Horned Fox",Yasir,50,12-15
Pirat's Tail,"Pirat Bombardier,Pirat Cutthroat,Pirat Mate,Pirat Scoundrel",Yasir,180,70-90
Pirate Coin,"Pirat Bombardier,Pirat Cutthroat,Pirat Mate,Pirat Scoundrel,Ratmiral Blackwhiskers,Tentugly's Head",Yasir,110,286-439
Plasma Pearls,"Breach Brood,Dreadful Disruptor,Instable Breach Brood,Reality Reaver,Stabilizing Reality Reaver,Burster,Essence of Malice,Rupture,The Souldespoiler",Yasir,250,50-80
Plasmatic Lightning,"Dreadful Disruptor,Reality Reaver,Eradicator,The Scourge of Oblivion",Yasir,270,51-99
Plate Legs,"Bog Raider,Dragon,Ghastly Dragon,Giant Spider,Orc Cult Fanatic,Orc Leader,Orc Warlord,Renegade Orc,Sea Serpent,Undead Elite Gladiator,Undead Gladiator,Bibby Bloodbath,Countess Sorrow,Demodras,Grand Mother Foulscale,The Snapper,Warlord Ruzad",Outro,115,114-197
Poisoned Fang,Blood Beast,Outro,130,134-190
Pool of Chitinous Glue,Retching Horror,Yasir,480,58-95
Pot of Orcish Warpaint,Norcferatu Heartless,Yasir,1150,32-48
Prehemoth Claw,Hulking Prehemoth,Outro,2300,36-82
Prehemoth Horns,Hulking Prehemoth,Outro,3000,27-41
Pressed Flower,Hawk Hopper,Yasir,570,12-19
Pulverized Ore,"Cliff Strider,Drillworm,Orewalker",Outro,400,97-107
Quara Bone,"Quara Predator,Quara Predator Scout,Renegade Quara Predator",Yasir,500,26-46
Quara Eye,"Quara Hydromancer,Quara Hydromancer Scout,Renegade Quara Hydromancer",Yasir,350,107-166
Quara Pincers,"Quara Pincher,Quara Pincher Scout,Quara Raider,Renegade Quara Pincher",Yasir,410,101-177
Quara Tentacle,"Quara Constrictor,Quara Constrictor Scout,Renegade Quara Constrictor",Yasir,140,110-189
Ratana,"Corym Charlatan,Corym Skirmisher,Corym Vanguard,Werehyaena",Outro,500,29-48
Raw Meat,"Animated Clomp,Clomp,Museum Stone Rhino,Stone Rhino",Ninguem,0,12-159
Red Goanna Scale,"Adult Goanna,Sun-marked Goanna",Yasir,270,57-100
Red Hair Dye,"Lost Basher,Lost Exile,Lost Husher,Lost Thrower",Yasir,40,63-97
Relic Sword,"Eyeless Devourer,Naga Warrior,Priestess of the Wild Sun,Quara Predator,Renegade Quara Predator,Spectre,Streaked Devourer,Undead Elite Gladiator,Undertaker,Werebear,Werewolf,Feroxa,Madareth,Shadowpelt,Thul","Yasir, Rashid",25000,15-19
Resin Parasite,"Rootthing Amber Shaper,Rootthing Bug Tracker,Rootthing Nutshell",Outro,1450,13-19
Resinous Fish Fin,"Quara Looter,Quara Plunderer,Quara Raider",Yasir,1250,12-20
Rhindeer Antlers,Rhindeer,Yasir,68,28-49
Ripper Lance,"Cunning Werepanther,Dworc Fleshhunter,Dworc Shadowstalker,Insectoid Scout,Sopping Carcass,Werepanther,Fleshslicer,Mindmasher",Yasir,500,10-18
Ripptor Claw,Noxious Ripptor,Yasir,2600,25-44
Ripptor Scales,Noxious Ripptor,Yasir,1200,25-50
Ritual Bone Knife,Varg,Yasir,820,31-41
Ritual Tooth,"Iks Ahpututu,Iks Aucar,Iks Chuka,Iks Pututu,Iks Yapunac,Ahau",Yasir,135,28-42
Roots,Branchy Crawler,Yasir,1200,28-48
Rotten Feather,"Iks Ahpututu,Iks Aucar,Iks Chuka,Iks Pututu,Ahau",Yasir,120,12-20
Rotten Piece of Cloth,Ghoul,Yasir,30,180-192
Rotten Roots,"Bloated Man-Maggot,Meandering Mushroom,Mycobiontic Beetle,Oozing Carcass,Oozing Corpus,Rotten Man-Maggot,Sopping Carcass,Sopping Corpus",Yasir,3800,26-49
Rubber Cap,"Darklight Matter,Glooth Bandit,Glooth Brigand,Glooth Golem,Rotten Golem,Turbulent Elemental,Glooth Fairy",Outro,11000,12-16
Sabretooth Fur,Sabretooth,Outro,2500,70-93
Sandcrawler Shell,Sandcrawler,Yasir,20,10-19
Scale of Corruption,"Draken Abomination,Lizard Chosen",Yasir,680,27-27
Scarab Pincers,"Ancient Scarab,Ancient Spawn of Morgathla,Fleshcrawler",Yasir,280,65-90
Scimitar,"Burning Book,Cobra Assassin,Crazed Summer Vanguard,Diabolic Imp,Fire Devil,Honour Guard,Naga Warrior,Orc Leader,Orc Warlord,Renegade Orc,Salamander,Undead Elite Gladiator,Undead Gladiator,Ushuriel,Warlord Ruzad",Djinn,150,28-40
Scorpion Charm,"Venerable Girtablilu,Girtablilu Warrior",Yasir,620,17-18
Scroll of Heroic Deeds,"Hero,Renegade Knight,Vile Grandmaster",Yasir,230,38-38
Scythe Leg,"Nightmare,Nightmare Scion,Tormentor",Yasir,450,29-37
Sealing Wax,Lion Hydra,Yasir,620,27-27
Shaggy Tail,"Gnarlhound,Orc Marauder,Cublarc the Plunderer,Fleabringer",Yasir,25,54-98
Shamanic Talisman,"Animated Ogre Shaman,Ogre Sage,Ogre Shaman,Shaper Matriarch",Yasir,200,26-46
Shark Fins,"Pirat Cutthroat,Pirat Mate",Yasir,250,50-95
Shimmering Beetles,"Arctic Faun,Boogy,Dark Faun,Faun,Pooka,Twisted Pooka,Raxias",Yasir,150,107-192
Shiny Stone,"Cliff Strider,Crystal Wolf,Enslaved Dwarf,Eternal Guardian,Gargoyle,Ghastly Dragon,Ironblight,Metal Gargoyle,Museum Stone Golem,Orewalker,Spectre,Stone Golem,Earth Overlord,Ethershreck,Fahim The Wise,Grorlam,Merikh the Slaughterer,Stonecracker,The Shatterer",Outro,500,63-98
Silencer Resonating Chamber,Silencer,Yasir,600,
Silken Bookmark,"Biting Book,Burning Book,Cursed Book,Energetic Book,Icecold Book,Knowledge Elemental",Yasir,1300,343-395
Silver Moon Coin,"Weretiger,White Weretiger,Tamru The Black",Outro,11000,10-20
Silver Poniard,"Raubritter Chastener,Raubritter Skirmisher,Clavius,Michael the Stalwart",Outro,2000,15-20
Sineater Wing,Sineater Inferniarch,Yasir,2100,14-17
Single Human Eye,Putrid Mummy,Yasir,1000,69-97
Skull Fetish,"Animated Ogre Brute,Animated Ogre Savage,Animated Ogre Shaman,Ogre Brute,Ogre Rowdy,Ogre Ruffian,Ogre Sage,Ogre Savage,Ogre Shaman,Shaper Matriarch,The Unarmored Voidborn",Yasir,250,96-98
Skullcracker Armor,"Bony Sea Devil,Frost Flower Asura,Grim Reaper,Haunted Dragon,Midnight Asura,Sopping Corpus,True Frost Flower Asura,True Midnight Asura,Undead Dragon,Annihilon,Feroxa,The Moonlight Aster,The Scourge of Oblivion,Zavarash",Rashid,18000,10-15
Slimy Leaf Tentacle,"Glooth Anemone,Lisa",Outro,320,105-184
Sliver,This item cannot be obtained from monsters.,Ninguem,0,53-100
Small Flask of Eyedrops,"Bonelord,Elder Bonelord,Gazer,Bonelord's Phylactery,The Evil Eye,The Gravedigger",Yasir,95,31-41
Small Notebook,"Hero,Renegade Knight,Vile Grandmaster",Yasir,480,13-18
Small Treasure Chest,"Pirat Mate,Ratmiral Blackwhiskers,Tentugly's Head",Yasir,500,15-15
Small Tropical Fish,Two-Headed Turtle,Yasir,380,11-19
Spark Sphere,"Breach Brood,Burster,Eradicator,Melting Frozen Horror,The Scourge of Oblivion,The Souldespoiler",Yasir,350,90-96
Sparkion Claw,"Instable Sparkion,Sparkion",Yasir,290,54-96
Sparkion Legs,"Instable Sparkion,Sparkion",Yasir,310,65-81
Sparkion Stings,"Instable Sparkion,Sparkion",Yasir,280,54-79
Sparkion Tail,"Instable Sparkion,Sparkion",Yasir,300,51-64
Spellbook of Mind Control,"Blood Priest,Brachiodemon,Bulltaur Forgepriest,Carnivostrich,Choking Fear,Crypt Mage,Dawnfire Asura,Frost Flower Asura,Hellflayer,Infernalist,Lava Golem,Midnight Asura,Nighthunter,Quara Plunderer,Serpent Spawn,Soul-broken Harbinger,Spellreaper Inferniarch,True Dawnfire Asura,True Frost Flower Asura,True Midnight Asura,Ferumbras,Ferumbras Mortal Shell,Ghazbaran,Gorzindel,Hellgorak,Horadron,Raging Mage,Reflection of a Mage,Soul of Dragonking Zyrtarch,The Moonlight Aster,The Noxious Spawn,Wrathful Archivist,Yaga the Crone,Yirkas Blue Scales,Zarabustor",Outro,13000,20-20
Spellsinger's Seal,"Deepling Master Librarian,Deepling Spellsinger",Yasir,280,50-94
Spellweaver's Robe,"Brain Squid,Bulltaur Alchemist,Burning Gladiator,Draken Spellweaver,Energetic Book,Energuardian of Tales,Ghastly Dragon,Haunted Dragon,Juvenile Bashmu,Knowledge Elemental,Undead Dragon,Arbaziloth (Hard),Dragon Hoard,Ethershreck,Hatebreeder,Lady Tenebris,Lloyd,The Duke of the Depths,Utua Stone Sting,Wrathful Archivist,Yirkas Blue Scales,Zamulosh",Outro,12000,13-19
Sphinx Tiara,"Feral Sphinx,Sphinx",Yasir,360,35-47
Spiked Bracers,Norcferatu Nightweaver,Yasir,1360,25-50
Spiked Gorget,Norcferatu Heartless,Yasir,850,27-49
Spiked Iron Ball,"Eternal Guardian,Lizard Chosen,Lizard High Guard,The Voice of Ruin",Yasir,100,27-45
Spiky Club,"Corym Skirmisher,Corym Vanguard,Orger,Naga Warrior",Outro,300,14-17
Spitter Nose,"Spitter,Rotspit,The Hungerer",Yasir,340,52-98
Staff Piece,Bulltaur Forgepriest,Yasir,560,39-48
Stag Parchment,"Raubritter Chastener,Raubritter Marksman,Adlerauge,Clavius,Overseer Osverger",Outro,3000,36-50
Stalking Seeds,Stalking Stalk,Outro,1800,102-191
Stampor Talons,"Stampor,Tromphonyte",Outro,150,42-50
Star Ink,"Bluebeak,Ink Splash",Yasir,1250,30-48
Stone Wing,Gargoyle,Yasir,120,62-96
Stonerefiner's Skull,Stonerefiner,Yasir,100,101-196
Strange Helmet,"Albino Dragon,Dragon Lord,Frost Dragon,Ice Golem,Icecold Book,Lavaworm,Lich,Quara Mantassin,Renegade Quara Mantassin,Serpent Spawn,Vampire,Walking Pillar,Adlerauge,Arbaziloth,Arbaziloth (Hard),Blight Mariner,Clavius,Demodras,Dragon Hoard,Gravelord Oshuran,Hirintror,Michael the Stalwart,Ushuriel",Djinn,500,11-12
Strange Substance,Bulltaur Alchemist,Yasir,810,67-100
Streaked Devourer Eyes,Streaked Devourer,Yasir,500,52-99
Streaked Devourer Legs,Streaked Devourer,Yasir,600,26-38
Streaked Devourer Maw,Streaked Devourer,Yasir,400,103-175
Striped Fur,"Mutated Tiger,Tiger,White Tiger",Yasir,50,125-193
Sulphider Shell,Sulphider,Outro,2200,101-195
Sulphur Powder,"Sulphider,Sulphur Spouter",Yasir,1900,265-480
Sulphurous Stone,"Brimstone Bug,Museum Stone Golem,Orewalker,Stone Golem,Wandering Pillar,Grorlam,Sulphur Scuttler",Outro,100,53-96
Swampling Club,"Leaf Golem,Minotaur Occultist,Swampling,Wilting Leaf Golem",Outro,40,30-46
Swarmer Antenna,Swarmer,Yasir,130,50-60
Tail of Corruption,Draken Abomination,Yasir,240,46-49
Taurus Mace,"Minotaur Cult Zealot,Minotaur Mage,Worm Priestess",Rashid,500,10-19
Telescope Eye,Cloak of Terror,Yasir,1600,13-19
Terra Boots,"Armadile,Choking Fear,Cobra Vizier,Cursed Book,Dwarf Geomancer,Enfeebled Silencer,Exotic Cave Spider,Foam Stalker,Ghastly Dragon,Glooth Bandit,Glooth Brigand,Hideous Fungus,Hulking Carnisylvan,Humongous Fungus,Ink Blob,Ink Splash,Lost Basher,Lost Berserker,Lost Exile,Lost Husher,Mercurial Menace,Ogre Sage,Omnivora,Oozing Corpus,Pirat Bombardier,Shrieking Cry-Stal,Silencer,Thanatursus,Undertaker,Venerable Foam Stalker,White Lion,Blight Mariner,Deathbine,Neferi the Spy,Ravenous Hunger,Sister Hetai,Terofar",Rashid,2500,127-166
Terra Hood,"Adult Goanna,Ancient Scarab,Bramble Wyrmling,Cobra Vizier,Cursed Book,Draken Abomination,Earworm,Glooth Bandit,Glooth Brigand,Hulking Carnisylvan,Ink Blob,Ink Splash,Lamassu,Rootthing Nutshell,Sun-marked Goanna,Thanatursus,Usurper Warlock,Young Goanna,Ancient Spawn of Morgathla,Arthom the Hunter,Clavius,Drume,Duke Krule,Guard Captain Quaid,Hide,Kusuma,Megasylvan Yselda,Neferi the Spy,Scarlett Etzel,Sister Hetai,The Unarmored Voidborn",Rashid,2500,138-190
Terra Mantle,"Askarak Lord,Askarak Prince,Banshee,Blightwalker,Bramble Wyrmling,Choking Fear,Cursed Book,Exotic Cave Spider,Feral Werecrocodile,Glooth Bandit,Glooth Brigand,Hideous Fungus,Humongous Fungus,Ink Blob,Ink Splash,Medusa,Raubritter Marksman,Rotten Golem,Spiky Carnivor,Adlerauge,Ancient Spawn of Morgathla,Ayana The Crimson Curse,Drume,Earth Overlord,Esmeralda,Fleshcrawler,Gorga,Gorgo,King Zelos,Megasylvan Yselda,Plagirath,Ravenous Hunger,Scarlett Etzel,The Duke of the Depths,The Evil Eye,The Lord of the Lice",Rashid,11000,12-15
Terramite Legs,Terramite,Yasir,60,70-98
Thorn,Thornback Tortoise,Yasir,100,113-183
Titan Axe,"Afflicted Strider,Armadile,Behemoth,Enslaved Dwarf,Execowtioner,Falcon Knight,Headpecker,Hellflayer,Infernal Phantom,Juggernaut,Lion Hydra,Lost Soul,Medusa,Minotaur Invader,Orewalker,Rhindeer,Rotten Golem,Silencer,Spidris,Spidris Elite,Thanatursus,Werelion,Fleshslicer,Gorga,Gorgo,Grand Chaplain Gaunder,Preceptor Lazare",Djinn,4000,11-45
Toe Nails,"Crypt Construct,Crypt Mage,Haunted Hunter,Roaming Dread,Walking Dread",Outro,4500,29-48
Tooth File,"Nightfiend,Vampire Viscount,Vicious Manbat",Yasir,60,13-20
Torn Page,"Crusader,Headwalker",Yasir,340,51-96
Trapped Bad Dream Monster,"Feversleep,Shiversleep,Terrorsleep,The Enraged Thorn Knight",Yasir,900,105-184
Tunnel Tyrant Head,Tunnel Tyrant,Yasir,500,109-198
Tunnel Tyrant Shell,Tunnel Tyrant,Yasir,700,113-197
Two-Headed Turtle Heads,Two-Headed Turtle,Yasir,460,28-40
Undertaker Fangs,Undertaker,Outro,2700,106-158
Unholy Bone,"Betrayed Wraith,Crypt Warrior,Gravedigger,Haunted Dragon,Lost Soul,Skeleton Elite Warrior,Undead Dragon,Zanakeph,Zorvorax",Yasir,480,307-434
Vampire's Cape Chain,"Vampire Viscount,The Pale Count",Yasir,150,31-48
Vein of Ore,"Cliff Strider,Drillworm,Orewalker",Outro,330,257-458
Venison,"Elder Forest Fury,Forest Fury",Yasir,55,60-92
Vile Axe,"Dark Torturer,Grimeleech,Eradicator,Ferumbras,Ferumbras Mortal Shell,Hellgorak,Horadron,Mazzinor,Realityquake",Rashid,30000,7-10
Volatile Proto Matter,"Breach Brood,Burster",Yasir,300,76-99
